correct,correct,correct,correct@correct.correct,correct,correct,correct
MAXcorrectMAXcorrect,MAXcorrectcorrect,correct,correct@correct2.correct,correct,correct,correct
cor,cor,minFandLName,correct@correct3.correct,correct,correct,correct
correct,correct,MAXcorrectMAXcorrect,correct@correct5.correct,correct,correct,correct
correct,correct,minCOminCO,correct@correct6.correct,correct,correct,correct
correct,correct,min,correct@correct7.correct,correct,correct,correct
correct,correct,correct,MAXcorrect@MAXcorrectMAXcorrectMAXcorrect.MAXcorre,correct,correct,correct
correct,correct,correct,m@i.nn,correct,correct,correct
minlength,password,correct,correct@correct8.correct,corre,corre,correct
maxlength,password,correct,correct@correct9.correct,1234567890qwertyuiopasdfghjk,1234567890qwertyuiopasdfghjk,correct
